cell_id,tsne_1,tsne_2,true_label,predicted_label,hungarian_annotation,marker_overlap_annotation,batch
human3_lib1.final_cell_0352-2,34.742226,-63.115433,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0353-2,-19.585722,66.36795,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0354-2,-21.565113,-46.71606,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0355-2,72.32062,1.3273872,beta,12,beta,beta,human3
human3_lib1.final_cell_0356-2,-0.73953635,-48.54995,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0357-2,85.72885,-22.968197,beta,12,beta,beta,human3
human3_lib1.final_cell_0358-2,-34.258717,-34.192024,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0359-2,-0.65875,11.839831,delta,8,delta,delta,human3
human3_lib1.final_cell_0360-2,-6.472824,75.110634,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0361-2,-37.667393,4.370158,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0362-2,-17.004692,53.50027,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0363-2,-37.131893,-29.148626,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0364-2,82.64055,-19.70174,beta,12,beta,beta,human3
human3_lib1.final_cell_0365-2,-35.418175,1.6726058,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0366-2,2.6076777,-57.291336,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0367-2,18.467182,-64.33784,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0368-2,-31.957888,-34.735104,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0369-2,-13.306709,-61.75788,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0370-2,-29.567934,-33.10231,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0371-2,-18.825901,56.057358,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0372-2,22.986212,-69.639626,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0373-2,3.257676,51.632004,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0374-2,-30.65619,-46.36476,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0375-2,16.10372,-58.75022,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0376-2,-60.406944,-0.72189504,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0377-2,84.1797,-8.226658,beta,12,beta,beta,human3
human3_lib1.final_cell_0378-2,-29.0384,-32.913246,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0379-2,-12.169304,12.373897,delta,8,delta,delta,human3
human3_lib1.final_cell_0380-2,61.142326,-6.499051,beta,12,beta,beta,human3
human3_lib1.final_cell_0381-2,-29.051369,-1.9658027,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0382-2,-56.024624,-13.317639,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0383-2,86.49997,-23.066004,beta,12,beta,beta,human3
human3_lib1.final_cell_0384-2,-11.432724,-61.603313,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0385-2,-22.737946,56.78044,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0386-2,-25.83795,-38.972187,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0387-2,-35.34665,-34.97062,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0388-2,-30.237364,-45.529778,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0389-2,-15.801226,55.21356,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0390-2,-21.86896,-34.58121,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0391-2,-11.597683,73.65822,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0392-2,-35.735313,4.044214,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0393-2,31.31845,-76.22521,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0394-2,80.619705,-28.079662,beta,12,beta,beta,human3
human3_lib1.final_cell_0395-2,88.90872,-20.601002,beta,12,beta,beta,human3
human3_lib1.final_cell_0396-2,86.90291,-9.100718,beta,12,beta,beta,human3
human3_lib1.final_cell_0397-2,-29.559673,2.5295558,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0398-2,-18.148832,62.546124,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0399-2,6.235134,-53.55782,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0400-2,-53.115677,-13.074575,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0401-2,-13.820575,-62.71562,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0402-2,80.73047,-30.438303,beta,12,beta,beta,human3
human3_lib1.final_cell_0403-2,82.291176,-27.438356,beta,12,beta,beta,human3
human3_lib1.final_cell_0404-2,80.6997,-2.8569486,beta,12,beta,beta,human3
human3_lib1.final_cell_0405-2,-34.962208,-29.840311,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0406-2,-11.4624195,19.194918,delta,8,delta,delta,human3
human3_lib1.final_cell_0407-2,-25.579296,-46.61951,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0408-2,83.43268,-13.596296,beta,12,beta,beta,human3
human3_lib1.final_cell_0409-2,79.10988,-34.018913,beta,12,beta,beta,human3
human3_lib1.final_cell_0410-2,11.07603,-47.920166,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0411-2,87.70667,-19.141888,beta,12,beta,beta,human3
human3_lib1.final_cell_0412-2,47.920135,17.686161,beta,12,beta,beta,human3
human3_lib1.final_cell_0413-2,-49.996887,-59.92955,alpha,7,gamma,gamma,human3
human3_lib1.final_cell_0414-2,63.25205,-9.158842,beta,12,beta,beta,human3
human3_lib1.final_cell_0415-2,-24.120234,51.215893,alpha,1,acinar,acinar,human3
human3_lib1.final_cell_0416-2,-16.290197,-62.04754,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0417-2,26.111313,-69.30617,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0418-2,-23.908188,-35.045246,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0419-2,-6.108919,70.41551,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0420-2,-14.679968,-61.307076,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0421-2,34.90758,-9.810103,beta,12,beta,beta,human3
human3_lib1.final_cell_0422-2,6.1598325,67.578636,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0423-2,81.89222,-10.247057,beta,12,beta,beta,human3
human3_lib1.final_cell_0424-2,82.473915,-6.5701294,beta,12,beta,beta,human3
human3_lib1.final_cell_0425-2,34.24661,-61.87124,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0426-2,-9.24318,14.663557,delta,8,delta,delta,human3
human3_lib1.final_cell_0427-2,13.668994,-53.28314,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0428-2,-31.513357,-32.647926,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0429-2,-38.783443,-33.64628,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0430-2,-4.3569703,21.504166,delta,8,delta,delta,human3
human3_lib1.final_cell_0431-2,88.444565,-20.028036,beta,12,beta,beta,human3
human3_lib1.final_cell_0432-2,-53.717953,-3.0789642,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0433-2,-66.91358,-7.7360215,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0434-2,84.35965,-27.616508,beta,12,beta,beta,human3
human3_lib1.final_cell_0435-2,-61.09515,-7.244109,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0436-2,-52.502403,27.127325,endothelial,0,endothelial,endothelial,human3
human3_lib1.final_cell_0437-2,-50.80144,-0.854144,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0438-2,19.81914,-73.69816,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0439-2,-12.308692,55.079247,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0440-2,-2.6305957,55.41595,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0441-2,-87.442894,16.740753,alpha,5,t_cell,t_cell,human3
human3_lib1.final_cell_0442-2,-3.263804,-63.56962,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0443-2,36.91235,-6.5199647,beta,12,beta,beta,human3
human3_lib1.final_cell_0444-2,-23.91878,-47.27368,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0445-2,5.1348567,-70.83158,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0446-2,38.5894,-11.078251,beta,12,beta,beta,human3
human3_lib1.final_cell_0447-2,-28.069181,61.336536,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0448-2,26.822453,-60.38079,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0449-2,79.95183,-2.7091827,beta,12,beta,beta,human3
human3_lib1.final_cell_0450-2,29.41828,-76.86883,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0451-2,6.2630196,-67.20283,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0452-2,11.957819,-59.064056,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0453-2,-29.022364,0.17160444,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0454-2,6.994291,-60.588097,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0455-2,-64.97679,-4.113958,alpha,3,ductal,ductal,human3
human3_lib1.final_cell_0456-2,-41.17989,-67.71421,gamma,7,gamma,gamma,human3
human3_lib1.final_cell_0457-2,56.325058,-13.034499,beta,12,beta,beta,human3
human3_lib1.final_cell_0458-2,-63.477932,-6.7446203,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0459-2,86.09776,-20.213423,beta,12,beta,beta,human3
human3_lib1.final_cell_0460-2,80.666084,-1.763987,beta,12,beta,beta,human3
human3_lib1.final_cell_0461-2,22.102491,-62.89451,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0462-2,-59.18905,-1.7008879,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0463-2,77.62436,-31.992031,beta,12,beta,beta,human3
human3_lib1.final_cell_0464-2,23.031822,-62.631065,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0465-2,30.161825,-62.572018,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0466-2,18.122808,-54.305393,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0467-2,-34.13065,-33.844448,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0468-2,-35.18899,-33.604305,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0469-2,-51.470665,-4.9312363,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0470-2,-33.88593,2.0823803,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0471-2,-25.172108,-45.896137,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0472-2,-23.033373,-41.13573,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0473-2,-10.893686,12.574398,delta,8,delta,delta,human3
human3_lib1.final_cell_0474-2,80.14238,-34.56591,beta,12,beta,beta,human3
human3_lib1.final_cell_0475-2,-8.435238,-61.759087,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0476-2,-17.246563,74.391624,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0477-2,-14.430996,-60.478638,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0478-2,31.233673,-71.11649,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0479-2,86.11358,-25.439934,beta,12,beta,beta,human3
human3_lib1.final_cell_0480-2,-73.588524,-9.998962,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0481-2,30.686274,-73.96394,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0482-2,-6.232326,8.545728,delta,8,delta,delta,human3
human3_lib1.final_cell_0483-2,-5.008254,55.507423,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0484-2,1.0955055,62.264404,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0485-2,83.20634,-2.9549212,beta,12,beta,beta,human3
human3_lib1.final_cell_0486-2,-2.2393837,-49.333496,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0487-2,-24.318554,-48.16374,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0488-2,-66.00243,-0.22083478,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0489-2,-91.63063,12.109488,macrophage,6,macrophage,macrophage,human3
human3_lib1.final_cell_0490-2,34.26045,-74.45714,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0491-2,-14.254345,11.83469,delta,8,delta,delta,human3
human3_lib1.final_cell_0492-2,81.83294,-19.836887,beta,12,beta,beta,human3
human3_lib1.final_cell_0493-2,-24.574259,-43.99988,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0494-2,74.94893,-32.121704,beta,12,beta,beta,human3
human3_lib1.final_cell_0495-2,-52.47897,-6.3473034,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0496-2,-69.75586,-7.646971,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0497-2,-36.412518,-31.7163,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0498-2,-16.13014,-62.03062,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0499-2,-27.872778,-2.8082232,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0500-2,-60.40389,-4.4627786,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0501-2,-62.14826,23.559505,endothelial,0,endothelial,endothelial,human3
human3_lib1.final_cell_0502-2,-46.699116,-61.12486,gamma,7,gamma,gamma,human3
human3_lib1.final_cell_0503-2,-30.692274,-35.551167,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0504-2,77.69699,-36.205418,beta,12,beta,beta,human3
human3_lib1.final_cell_0505-2,2.269765,66.653305,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0506-2,27.71369,-54.795277,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0507-2,29.257637,-55.268265,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0508-2,20.874876,-57.07512,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0509-2,68.06023,-5.200648,beta,12,beta,beta,human3
human3_lib1.final_cell_0510-2,-26.805094,-41.504486,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0511-2,-4.435394,-37.543514,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0512-2,-43.994595,-63.345467,gamma,7,gamma,gamma,human3
human3_lib1.final_cell_0513-2,75.903885,-1.5197631,beta,12,beta,beta,human3
human3_lib1.final_cell_0514-2,31.456562,-70.22687,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0515-2,-65.67365,-9.272936,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0516-2,-7.1987653,11.374256,delta,8,delta,delta,human3
human3_lib1.final_cell_0517-2,-72.04414,41.55225,ductal,2,Unmatched_2,ductal,human3
human3_lib1.final_cell_0518-2,-26.12848,-32.910084,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0519-2,-6.9598927,-64.87384,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0520-2,-59.6444,25.457323,endothelial,0,endothelial,endothelial,human3
human3_lib1.final_cell_0521-2,26.35377,-75.244095,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0522-2,29.58153,-76.151436,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0523-2,51.216175,-16.255508,beta,12,beta,beta,human3
human3_lib1.final_cell_0524-2,-31.00395,1.1617775,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0525-2,-28.68598,-36.374958,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0526-2,-10.764587,74.37538,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0527-2,19.690416,-52.97406,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0528-2,77.49891,-33.707558,beta,12,beta,beta,human3
human3_lib1.final_cell_0529-2,-59.073257,-4.5060787,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0530-2,1.7138749,51.799263,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0531-2,71.7624,-1.1215025,beta,12,beta,beta,human3
human3_lib1.final_cell_0532-2,-6.533367,-20.684422,beta,15,epsilon,quiescent_stellate,human3
human3_lib1.final_cell_0533-2,74.28459,-35.842777,beta,12,beta,beta,human3
human3_lib1.final_cell_0534-2,-50.399826,-59.099503,alpha,7,gamma,gamma,human3
human3_lib1.final_cell_0535-2,-13.211163,12.372965,delta,8,delta,delta,human3
human3_lib1.final_cell_0536-2,7.3879027,58.22237,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0537-2,32.467236,-76.4357,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0538-2,60.97904,-6.698861,beta,12,beta,beta,human3
human3_lib1.final_cell_0539-2,-36.874813,-33.362038,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0540-2,-59.501316,-14.241869,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0541-2,-22.193342,-34.46893,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0542-2,-29.710358,-41.912434,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0543-2,82.85548,-11.693506,beta,12,beta,beta,human3
human3_lib1.final_cell_0544-2,-28.64209,-36.174435,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0545-2,3.689232,70.29158,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0546-2,6.9189115,51.807682,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0547-2,81.1516,-30.509415,beta,12,beta,beta,human3
human3_lib1.final_cell_0548-2,79.85711,-6.0714397,beta,12,beta,beta,human3
human3_lib1.final_cell_0549-2,-25.014576,-41.150066,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0550-2,-57.29663,-13.9578,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0551-2,-57.151424,2.697604,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0552-2,-31.029299,-31.38673,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0553-2,81.11357,-4.2140265,beta,12,beta,beta,human3
human3_lib1.final_cell_0554-2,-69.95489,-8.5968,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0555-2,-0.14574593,-68.73023,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0556-2,-90.93061,12.537223,macrophage,6,macrophage,macrophage,human3
human3_lib1.final_cell_0557-2,-54.876316,-14.559653,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0558-2,-3.6677518,54.43953,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0559-2,76.07055,-6.5613813,beta,12,beta,beta,human3
human3_lib1.final_cell_0560-2,-14.758709,54.26036,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0561-2,73.5629,-5.037701,beta,12,beta,beta,human3
human3_lib1.final_cell_0562-2,-69.368996,-14.562619,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0563-2,-47.393753,-62.066826,gamma,7,gamma,gamma,human3
human3_lib1.final_cell_0564-2,-62.879013,-10.710689,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0565-2,17.081032,-48.686676,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0566-2,-23.78562,-33.69747,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0567-2,-51.249516,-0.52805066,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0568-2,-25.662802,-42.149353,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0569-2,6.3436747,-53.326767,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0570-2,-13.662336,12.605372,delta,8,delta,delta,human3
human3_lib1.final_cell_0571-2,-54.021275,-9.949833,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0572-2,-4.250683,63.241028,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0573-2,-30.778606,-38.812275,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0574-2,26.047457,-69.98525,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0575-2,-26.564352,-42.397636,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0576-2,-74.49325,-9.101215,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0577-2,-56.33067,-9.846905,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0578-2,-62.933037,-6.31967,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0579-2,-56.669876,-5.6349216,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0580-2,-6.7552433,61.528492,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0581-2,-28.530853,-47.791977,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0582-2,-1.0560848,-62.880352,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0583-2,-4.684377,17.631592,delta,8,delta,delta,human3
human3_lib1.final_cell_0584-2,1.1371286,26.6776,delta,8,delta,delta,human3
human3_lib1.final_cell_0585-2,-49.311737,-70.96069,alpha,7,gamma,gamma,human3
human3_lib1.final_cell_0586-2,31.557007,-70.96738,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0587-2,-71.85699,41.854927,ductal,2,Unmatched_2,ductal,human3
human3_lib1.final_cell_0588-2,-6.4862804,68.39249,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0589-2,31.60343,-70.836174,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0590-2,-32.309864,-40.610878,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0591-2,67.715515,-0.5220959,beta,12,beta,beta,human3
human3_lib1.final_cell_0592-2,19.301348,-65.97903,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0593-2,-34.6151,4.273463,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0594-2,-62.88945,-0.15912169,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0595-2,4.942209,-44.591732,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0596-2,-28.329737,-1.6241732,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0597-2,-1.2014769,-68.75925,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0598-2,9.827427,56.88638,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0599-2,-59.106346,-0.6600685,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0600-2,-4.521485,-69.61838,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0601-2,4.764053,-56.2151,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0602-2,34.326862,-59.76109,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0603-2,-11.980245,61.816135,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0604-2,-28.187109,0.59396625,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0605-2,-52.922512,38.77704,endothelial,0,endothelial,endothelial,human3
human3_lib1.final_cell_0606-2,84.131935,-30.973175,beta,12,beta,beta,human3
human3_lib1.final_cell_0607-2,-3.6723592,-33.916122,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0608-2,-58.964985,-13.8060465,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0609-2,15.872872,-62.889572,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0610-2,86.29759,-26.359818,beta,12,beta,beta,human3
human3_lib1.final_cell_0611-2,6.68836,-70.93098,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0612-2,-1.4895518,-46.838932,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0613-2,-37.623413,16.416779,quiescent_stellate,13,quiescent_stellate,quiescent_stellate,human3
human3_lib1.final_cell_0614-2,-53.63693,2.7868495,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0615-2,-58.93674,-8.158265,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0616-2,34.044117,-74.5672,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0617-2,2.6900365,-56.582245,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0618-2,-5.867693,64.47894,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0619-2,-0.8827364,58.380535,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0620-2,25.044273,-66.05781,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0621-2,82.93548,-2.7053401,beta,12,beta,beta,human3
human3_lib1.final_cell_0622-2,13.287169,-52.175243,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0623-2,0.73987174,15.505523,delta,8,delta,delta,human3
human3_lib1.final_cell_0624-2,-28.575602,-31.75583,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0625-2,-12.373952,70.59936,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0626-2,74.13177,-34.08095,beta,12,beta,beta,human3
human3_lib1.final_cell_0627-2,-9.639576,58.001575,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0628-2,-0.09551284,53.29312,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0629-2,-5.3508277,-30.008623,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0630-2,-52.57271,0.86585575,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0631-2,-34.258965,-32.44818,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0632-2,-26.33277,-32.816254,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0633-2,-53.31828,29.532984,endothelial,0,endothelial,endothelial,human3
human3_lib1.final_cell_0634-2,-52.12551,-6.8735056,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0635-2,-75.1473,-9.480046,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0636-2,-57.244984,-16.396229,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0637-2,-12.587437,-62.108994,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0638-2,-15.942741,-59.677486,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0639-2,-28.708015,1.4784493,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0640-2,78.69972,-18.366358,beta,12,beta,beta,human3
human3_lib1.final_cell_0641-2,-6.911184,-19.149834,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0642-2,-10.432391,56.36198,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0643-2,-37.606148,-65.85759,gamma,7,gamma,gamma,human3
human3_lib1.final_cell_0644-2,-3.4074075,-63.428295,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0645-2,-26.828016,-36.13152,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0646-2,-60.068874,-7.75592,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0647-2,44.377335,-39.35924,mast,4,mast,mast,human3
human3_lib1.final_cell_0648-2,-54.19712,-6.979735,ductal,3,ductal,ductal,human3
human3_lib1.final_cell_0649-2,5.500863,-67.02553,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0650-2,-1.5782455,54.249916,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0651-2,-27.213732,-36.574253,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0652-2,-36.51152,15.23896,quiescent_stellate,15,epsilon,quiescent_stellate,human3
human3_lib1.final_cell_0653-2,-31.766611,1.299625,activated_stellate,10,activated_stellate,activated_stellate,human3
human3_lib1.final_cell_0654-2,77.660835,-9.772177,beta,12,beta,beta,human3
human3_lib1.final_cell_0655-2,1.9702054,51.71076,acinar,1,acinar,acinar,human3
human3_lib1.final_cell_0656-2,-2.1724954,-52.15998,alpha,11,alpha,alpha,human3
human3_lib1.final_cell_0657-2,21.882654,-70.90119,alpha,11,alpha,alpha,human3
